epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5821,2.71374,2.53058,1.95066,0.53648,0.31533,0.15372,0.06936,1.91442,inf,1.61147,0.00034296,0.00034296,0.00034296
2,44.018,1.62791,1.27616,1.27827,0.02375,0.01893,0.01065,0.00335,4.58074,inf,4.85329,0.000698824,0.000698824,0.000698824
3,60.8595,1.55398,1.16856,1.21466,0.29964,0.376,0.27748,0.11829,1.98454,2.48456,1.77474,0.00105327,0.00105327,0.00105327
4,77.7987,1.5252,1.13109,1.1963,0.08125,0.19218,0.05475,0.01836,2.59636,2.96812,2.48775,0.00140631,0.00140631,0.00140631
5,94.46,1.49551,1.10406,1.18203,0.52178,0.63715,0.5288,0.25686,1.52333,inf,1.36385,0.00141768,0.00141768,0.00141768
6,111.352,1.42724,1.03086,1.13026,0.50943,0.70282,0.54437,0.27478,1.58254,inf,1.32339,0.00141485,0.00141485,0.00141485
7,128.234,1.40775,0.98117,1.12192,0.50812,0.73198,0.58828,0.29837,1.52455,1.98627,1.26401,0.00141202,0.00141202,0.00141202
8,145.033,1.37588,0.95522,1.10003,0.32874,0.38655,0.31265,0.13897,1.95421,2.33198,1.79878,0.00140919,0.00140919,0.00140919
9,161.574,1.36554,0.95488,1.08344,0.47382,0.47345,0.43682,0.24651,1.49475,1.25149,1.25247,0.00140636,0.00140636,0.00140636
10,178.469,1.33023,0.90332,1.07364,0.62117,0.73659,0.6845,0.40516,1.31022,0.92336,1.08048,0.00140354,0.00140354,0.00140354
11,195.098,1.31249,0.88068,1.05972,0.2988,0.15789,0.16701,0.08501,2.48755,2.90346,1.99241,0.00140071,0.00140071,0.00140071
12,211.733,1.29909,0.86977,1.05489,0.62528,0.74704,0.69699,0.4053,1.37028,0.99563,1.11037,0.00139788,0.00139788,0.00139788
13,228.516,1.27798,0.85564,1.04191,0.48457,0.48825,0.45428,0.26472,1.43789,1.2437,1.25168,0.00139505,0.00139505,0.00139505
14,245.191,1.26094,0.82933,1.03936,0.65673,0.82913,0.73328,0.43776,1.2573,1.00197,1.02795,0.00139222,0.00139222,0.00139222
15,261.849,1.24794,0.85566,1.03513,0.69477,0.79542,0.69994,0.3823,1.34489,0.85425,1.0581,0.00138939,0.00138939,0.00138939
16,278.497,1.24431,0.82318,1.02701,0.4594,0.41727,0.42313,0.22533,1.62018,1.23943,1.29659,0.00138656,0.00138656,0.00138656
17,295.09,1.24209,0.82649,1.03061,0.63006,0.76716,0.68997,0.39041,1.33258,0.82929,1.04684,0.00138373,0.00138373,0.00138373
18,311.754,1.24514,0.81159,1.02588,0.60827,0.63545,0.60958,0.34783,1.32133,0.8573,1.06743,0.0013809,0.0013809,0.0013809
19,328.416,1.23851,0.80376,1.02631,0.7241,0.79113,0.74026,0.43568,1.23168,0.85267,1.00741,0.00137807,0.00137807,0.00137807
20,345.012,1.22728,0.80248,1.01497,0.5785,0.53567,0.57889,0.35066,1.26788,0.881,1.04588,0.00137524,0.00137524,0.00137524
21,361.6,1.22703,0.79892,1.01909,0.45929,0.43074,0.43529,0.2547,1.46073,1.47357,1.24947,0.00137241,0.00137241,0.00137241
22,378.137,1.22231,0.78798,1.01332,0.42572,0.24112,0.28672,0.16179,1.89312,inf,1.56444,0.00136958,0.00136958,0.00136958
23,394.7,1.21067,0.78257,1.01056,0.71426,0.8277,0.79088,0.50095,1.1788,0.73712,0.98454,0.00136675,0.00136675,0.00136675
24,411.432,1.20848,0.77249,1.0026,0.66385,0.7356,0.74426,0.47382,1.22484,0.74659,0.99241,0.00136392,0.00136392,0.00136392
25,427.994,1.20739,0.76046,1.00311,0.50043,0.42573,0.48022,0.28197,1.42497,1.24757,1.27839,0.00136109,0.00136109,0.00136109
26,444.6,1.19108,0.75403,1.00139,0.67183,0.75002,0.73347,0.4427,1.21236,0.79815,1.00094,0.00135826,0.00135826,0.00135826
27,461.252,1.17517,0.74632,0.99523,0.74492,0.84858,0.78028,0.47775,1.14819,0.69273,0.96964,0.00135544,0.00135544,0.00135544
28,477.804,1.19142,0.76047,0.99639,0.40875,0.36503,0.33091,0.17274,1.78921,1.73687,1.53188,0.00135261,0.00135261,0.00135261
29,494.424,1.19451,0.75083,0.99444,0.70795,0.86261,0.83207,0.54016,1.18628,0.73176,0.98079,0.00134978,0.00134978,0.00134978
30,511.114,1.17214,0.72545,0.99084,0.42728,0.38702,0.35804,0.18608,1.80543,1.70208,1.61467,0.00134695,0.00134695,0.00134695
31,527.691,1.19873,0.74233,0.99598,0.72408,0.79731,0.76148,0.46421,1.2187,0.76227,1.00854,0.00134412,0.00134412,0.00134412
32,544.371,1.16047,0.7173,0.98497,0.59093,0.62538,0.58661,0.338,1.36081,1.03745,1.09772,0.00134129,0.00134129,0.00134129
33,560.99,1.19033,0.75818,0.9975,0.53258,0.49321,0.50977,0.29501,1.41556,1.07148,1.14414,0.00133846,0.00133846,0.00133846
34,577.61,1.16522,0.73192,0.99303,0.73575,0.81558,0.79423,0.476,1.221,0.76332,1.00506,0.00133563,0.00133563,0.00133563
35,594.18,1.18611,0.73951,0.99038,0.46009,0.41293,0.39752,0.20783,1.76163,1.47092,1.52034,0.0013328,0.0013328,0.0013328
36,610.768,1.16382,0.72226,0.98938,0.75971,0.61031,0.71397,0.43258,1.21037,0.75169,1.00212,0.00132997,0.00132997,0.00132997
37,627.263,1.16136,0.7184,0.98437,0.60261,0.55602,0.5801,0.34872,1.2934,0.88282,1.06652,0.00132714,0.00132714,0.00132714
38,643.894,1.16424,0.72476,0.9851,0.27486,0.19822,0.1933,0.09377,2.26591,3.08576,1.87291,0.00132431,0.00132431,0.00132431
39,660.399,1.14798,0.70218,0.97621,0.26451,0.26782,0.19637,0.08374,2.25847,2.46891,2.05276,0.00132148,0.00132148,0.00132148
40,677.028,1.15122,0.69876,0.97202,0.76827,0.86297,0.82242,0.51493,1.19566,0.70413,0.98834,0.00131865,0.00131865,0.00131865
41,693.606,1.15051,0.69921,0.98454,0.47113,0.44305,0.43674,0.23436,1.6069,1.49679,1.4865,0.00131582,0.00131582,0.00131582
42,710.171,1.17669,0.72749,0.98694,0.69965,0.83878,0.79546,0.4995,1.1995,0.72218,1.00296,0.00131299,0.00131299,0.00131299
43,726.577,1.14716,0.7046,0.9817,0.4895,0.35936,0.40895,0.22995,1.60188,1.83989,1.30148,0.00131016,0.00131016,0.00131016
44,743.148,1.13904,0.6976,0.9775,0.24122,0.36251,0.30505,0.16288,2.04133,inf,1.61191,0.00130733,0.00130733,0.00130733
45,759.51,1.14717,0.71393,0.98123,0.19304,0.02338,0.09946,0.04321,4.07986,inf,3.13452,0.00130451,0.00130451,0.00130451
46,776.128,1.16078,0.72541,0.98736,0.75185,0.88782,0.83775,0.55304,1.12946,0.632,0.95146,0.00130168,0.00130168,0.00130168
47,792.788,1.13469,0.69427,0.97567,0.42922,0.37034,0.37842,0.20014,1.68672,1.58866,1.50617,0.00129885,0.00129885,0.00129885
48,809.356,1.13959,0.68635,0.97015,0.68356,0.81409,0.75019,0.46346,1.19194,0.71151,0.98103,0.00129602,0.00129602,0.00129602
49,825.829,1.1337,0.67368,0.96381,0.78242,0.87395,0.85987,0.5692,1.10988,0.61826,0.94312,0.00129319,0.00129319,0.00129319
50,842.522,1.14148,0.68253,0.96819,0.52611,0.45526,0.47687,0.26675,1.58482,1.251,1.37856,0.00129036,0.00129036,0.00129036
51,859.071,1.13338,0.66724,0.96414,0.6679,0.68407,0.70982,0.42235,1.23337,0.77247,1.01675,0.00128753,0.00128753,0.00128753
52,875.642,1.13103,0.67351,0.96264,0.72266,0.88993,0.8405,0.5517,1.11792,0.61886,0.94085,0.0012847,0.0012847,0.0012847
53,892.119,1.12998,0.65927,0.96063,0.74715,0.81085,0.80855,0.51051,1.13862,0.66632,0.96306,0.00128187,0.00128187,0.00128187
54,908.677,1.11779,0.65935,0.95864,0.39916,0.25369,0.28119,0.15013,1.92653,2.46672,1.74658,0.00127904,0.00127904,0.00127904
55,925.174,1.13166,0.6679,0.96674,0.59976,0.61438,0.59478,0.36668,1.25307,1.00303,1.02991,0.00127621,0.00127621,0.00127621
56,941.809,1.12137,0.65663,0.96278,0.72933,0.82448,0.79841,0.50849,1.12817,0.66072,0.95378,0.00127338,0.00127338,0.00127338
57,958.308,1.12564,0.66349,0.96676,0.46693,0.4229,0.39514,0.2172,1.57978,1.68303,1.30173,0.00127055,0.00127055,0.00127055
58,974.935,1.10704,0.65879,0.96416,0.73819,0.84903,0.82685,0.54597,1.14404,0.65806,0.96565,0.00126772,0.00126772,0.00126772
59,991.379,1.11568,0.6695,0.95928,0.52264,0.33131,0.40164,0.24286,1.65858,2.09372,1.34379,0.00126489,0.00126489,0.00126489
60,1007.96,1.11485,0.66023,0.97177,0.60488,0.70796,0.66881,0.41514,1.22327,0.7361,1.00954,0.00126206,0.00126206,0.00126206
61,1024.53,1.10331,0.6502,0.96157,0.74854,0.69768,0.74998,0.48667,1.1587,0.72116,0.99125,0.00125923,0.00125923,0.00125923
62,1041.21,1.1082,0.64669,0.95631,0.75181,0.85476,0.82436,0.52981,1.16711,0.63976,0.96123,0.00125641,0.00125641,0.00125641
63,1057.79,1.1211,0.65083,0.96236,0.75602,0.81849,0.83255,0.53646,1.13822,0.64093,0.95276,0.00125358,0.00125358,0.00125358
64,1074.42,1.12318,0.65669,0.95679,0.77416,0.9004,0.86913,0.57144,1.14523,0.61609,0.93687,0.00125075,0.00125075,0.00125075
65,1091,1.1019,0.63866,0.95328,0.19946,0.22327,0.1876,0.09677,2.42121,inf,1.91222,0.00124792,0.00124792,0.00124792
66,1107.69,1.1023,0.63266,0.95353,0.43031,0.34566,0.30539,0.14588,1.96208,1.78478,1.65608,0.00124509,0.00124509,0.00124509
67,1124.15,1.0969,0.65816,0.95803,0.29359,0.17083,0.22359,0.11929,2.47943,inf,1.90138,0.00124226,0.00124226,0.00124226
68,1140.76,1.11626,0.66673,0.95747,0.58836,0.61007,0.54933,0.30928,1.38867,1.01013,1.15272,0.00123943,0.00123943,0.00123943
69,1157.32,1.10742,0.6457,0.9526,0.76572,0.85744,0.84146,0.55917,1.11087,0.61688,0.94123,0.0012366,0.0012366,0.0012366
70,1173.84,1.09823,0.6394,0.95192,0.40917,0.32113,0.30403,0.15666,1.90158,2.0015,1.67343,0.00123377,0.00123377,0.00123377
71,1190.4,1.09742,0.64014,0.95037,0.39325,0.41443,0.35711,0.18523,1.84539,1.58591,1.69691,0.00123094,0.00123094,0.00123094
72,1206.99,1.1101,0.64332,0.95385,0.75786,0.6657,0.75782,0.47515,1.15626,0.68246,0.97188,0.00122811,0.00122811,0.00122811
73,1223.49,1.10021,0.63139,0.95183,0.4182,0.22082,0.26266,0.12673,2.17134,inf,1.82103,0.00122528,0.00122528,0.00122528
74,1239.94,1.08372,0.61351,0.94966,0.21302,0.08119,0.14008,0.07865,3.12822,5.90222,2.36315,0.00122245,0.00122245,0.00122245
75,1256.51,1.0845,0.6262,0.94889,0.47835,0.29513,0.35747,0.19848,1.83278,inf,1.54489,0.00121962,0.00121962,0.00121962
76,1273.06,1.10387,0.63725,0.95531,0.46653,0.33725,0.37261,0.20243,1.80745,1.94982,1.50729,0.00121679,0.00121679,0.00121679
77,1289.57,1.0829,0.6292,0.94771,0.68803,0.71626,0.68975,0.42919,1.21182,0.76976,1.02296,0.00121396,0.00121396,0.00121396
78,1306.21,1.08173,0.63038,0.94471,0.5607,0.49738,0.51974,0.31871,1.38218,1.28772,1.14457,0.00121113,0.00121113,0.00121113
79,1322.75,1.07027,0.61471,0.94455,0.22456,0.37594,0.25511,0.12718,2.24008,inf,1.59638,0.00120831,0.00120831,0.00120831
80,1339.29,1.07153,0.61897,0.94605,0.4786,0.42633,0.4316,0.24491,1.60621,1.50089,1.38939,0.00120548,0.00120548,0.00120548
81,1355.79,1.07229,0.61617,0.94546,0.45724,0.22659,0.29884,0.1649,1.84418,2.79287,1.50258,0.00120265,0.00120265,0.00120265
82,1372.34,1.10107,0.62964,0.95675,0.47168,0.28374,0.33979,0.18965,1.88338,2.46027,1.58254,0.00119982,0.00119982,0.00119982
83,1388.78,1.0831,0.61008,0.94438,0.29994,0.22688,0.26862,0.14367,2.24686,inf,1.67238,0.00119699,0.00119699,0.00119699
84,1405.3,1.08325,0.60628,0.94402,0.26475,0.33983,0.30611,0.16947,2.05152,inf,1.61671,0.00119416,0.00119416,0.00119416
85,1421.88,1.08513,0.61623,0.94563,0.58178,0.54036,0.55703,0.35013,1.28399,0.955,1.05007,0.00119133,0.00119133,0.00119133
86,1438.38,1.06787,0.60078,0.93928,0.25973,0.14708,0.17599,0.0982,2.62206,5.06129,1.94971,0.0011885,0.0011885,0.0011885
87,1454.89,1.05867,0.60066,0.94386,0.78716,0.82102,0.83983,0.56215,1.08409,0.59442,0.93552,0.00118567,0.00118567,0.00118567
88,1471.31,1.07153,0.59698,0.94223,0.26349,0.12307,0.18789,0.09882,2.57102,inf,1.90295,0.00118284,0.00118284,0.00118284
89,1487.78,1.06391,0.59979,0.94531,0.74614,0.77611,0.76005,0.47134,1.19311,0.72962,1.00187,0.00118001,0.00118001,0.00118001
90,1504.44,1.07306,0.61498,0.94564,0.45915,0.3706,0.38337,0.21534,1.66366,1.69818,1.30823,0.00117718,0.00117718,0.00117718
91,1520.97,1.07579,0.60534,0.93896,0.63672,0.61447,0.62644,0.40079,1.19104,0.74578,1.00058,0.00117435,0.00117435,0.00117435
92,1537.56,1.0628,0.58779,0.93365,0.57487,0.5618,0.55091,0.34462,1.26935,0.90817,1.0594,0.00117152,0.00117152,0.00117152
93,1554.09,1.05163,0.59205,0.93216,0.85865,0.76095,0.85052,0.58423,1.07765,0.5934,0.93514,0.00116869,0.00116869,0.00116869
94,1570.68,1.04663,0.59253,0.93519,0.13176,0.02903,0.06897,0.04376,3.79275,7.09191,2.99914,0.00116586,0.00116586,0.00116586
95,1587.21,1.05737,0.59714,0.93913,0.56464,0.55354,0.55472,0.34154,1.29923,1.00561,1.10823,0.00116303,0.00116303,0.00116303
96,1603.69,1.07307,0.61112,0.94163,0.48701,0.25685,0.3216,0.1788,1.82856,2.47356,1.368,0.00116021,0.00116021,0.00116021
97,1620.27,1.05493,0.5989,0.93685,0.80875,0.86051,0.86197,0.58367,1.10386,0.58856,0.93751,0.00115738,0.00115738,0.00115738
98,1636.97,1.08182,0.60297,0.94346,0.7576,0.87973,0.82965,0.54365,1.1221,0.63198,0.96387,0.00115455,0.00115455,0.00115455
99,1653.56,1.06347,0.5971,0.93692,0.77869,0.8903,0.8401,0.56251,1.1121,0.60808,0.94274,0.00115172,0.00115172,0.00115172
100,1670.13,1.054,0.58017,0.93576,0.64027,0.58436,0.60593,0.34878,1.41323,0.83099,1.05464,0.00114889,0.00114889,0.00114889
101,1686.69,1.05376,0.60055,0.93497,0.64439,0.68267,0.65561,0.41755,1.15024,0.70738,0.96823,0.00114606,0.00114606,0.00114606
102,1703.24,1.05938,0.59195,0.93657,0.60856,0.60618,0.5856,0.36652,1.22545,0.89517,1.00314,0.00114323,0.00114323,0.00114323
103,1719.79,1.05851,0.59074,0.93495,0.39451,0.19215,0.23202,0.1217,2.14363,inf,1.74833,0.0011404,0.0011404,0.0011404
104,1736.38,1.04617,0.59541,0.93442,0.52294,0.47564,0.48773,0.29133,1.39386,1.22448,1.20288,0.00113757,0.00113757,0.00113757
105,1752.82,1.07038,0.59723,0.93895,0.63423,0.73932,0.67064,0.41013,1.21285,0.77052,1.01487,0.00113474,0.00113474,0.00113474
106,1769.39,1.04445,0.58606,0.93883,0.51011,0.49147,0.46244,0.26949,1.5268,1.37136,1.31896,0.00113191,0.00113191,0.00113191
107,1785.91,1.04551,0.58577,0.93207,0.73783,0.65429,0.70682,0.46396,1.16726,0.70731,0.98306,0.00112908,0.00112908,0.00112908
108,1802.36,1.05548,0.57814,0.93111,0.19234,0.20794,0.17252,0.09668,2.24571,inf,1.80535,0.00112625,0.00112625,0.00112625
109,1818.83,1.03874,0.57558,0.93281,0.49659,0.3914,0.40988,0.22492,1.59362,1.6149,1.31797,0.00112342,0.00112342,0.00112342
110,1835.36,1.05402,0.58017,0.93603,0.42054,0.24297,0.28446,0.15682,1.93715,inf,1.64963,0.00112059,0.00112059,0.00112059
111,1851.79,1.04526,0.57173,0.93188,0.21022,0.16185,0.16068,0.08439,2.46009,inf,1.85997,0.00111776,0.00111776,0.00111776
112,1868.34,1.03975,0.57245,0.92616,0.68006,0.80897,0.72016,0.46681,1.10962,0.64643,0.95735,0.00111493,0.00111493,0.00111493
113,1884.74,1.03861,0.56592,0.92833,0.72554,0.80701,0.76927,0.51114,1.12628,0.62575,0.95352,0.0011121,0.0011121,0.0011121
114,1901.33,1.0485,0.57598,0.93568,0.69155,0.71416,0.68297,0.40975,1.22854,0.81387,1.00379,0.00110928,0.00110928,0.00110928
115,1917.76,1.03221,0.56959,0.93096,0.21835,0.21977,0.20718,0.11152,2.19792,3.64737,1.78018,0.00110645,0.00110645,0.00110645
116,1934.32,1.03845,0.57113,0.93093,0.61075,0.55842,0.56743,0.35949,1.27319,1.00082,1.04276,0.00110362,0.00110362,0.00110362
117,1950.81,1.03153,0.57142,0.92916,0.21876,0.4017,0.29011,0.15772,1.81587,inf,1.45495,0.00110079,0.00110079,0.00110079
118,1967.43,1.04245,0.58334,0.93662,0.57981,0.52406,0.54689,0.34541,1.25409,0.94612,1.03297,0.00109796,0.00109796,0.00109796
119,1983.84,1.05448,0.61129,0.93623,0.25707,0.02487,0.13259,0.06975,3.88777,7.09191,3.33033,0.00109513,0.00109513,0.00109513
120,2000.41,1.0399,0.56803,0.92963,0.69106,0.65704,0.69262,0.41543,1.27032,0.82178,1.06847,0.0010923,0.0010923,0.0010923
121,2016.99,1.03405,0.56561,0.92598,0.59925,0.59717,0.58165,0.34754,1.3448,1.02066,1.13449,0.00108947,0.00108947,0.00108947
122,2033.39,1.02524,0.55886,0.92633,0.26186,0.02781,0.13808,0.08293,3.80497,6.56979,2.95875,0.00108664,0.00108664,0.00108664
123,2049.98,1.02646,0.55739,0.92409,0.77484,0.8985,0.85893,0.58114,1.08403,0.58276,0.93329,0.00108381,0.00108381,0.00108381
124,2066.52,1.02773,0.55444,0.92675,0.72627,0.77806,0.75821,0.48409,1.18136,0.75768,1.00315,0.00108098,0.00108098,0.00108098
125,2082.99,1.03195,0.56419,0.93085,0.53235,0.24755,0.33993,0.19931,1.84853,2.53395,1.46462,0.00107815,0.00107815,0.00107815
126,2099.56,1.04508,0.56695,0.92673,0.80634,0.87045,0.84728,0.57128,1.09164,0.59157,0.94006,0.00107532,0.00107532,0.00107532
127,2116.11,1.01919,0.54998,0.92019,0.52611,0.44302,0.45373,0.2638,1.54646,1.44586,1.31665,0.00107249,0.00107249,0.00107249
128,2132.56,1.01406,0.5461,0.92198,0.30327,0.15466,0.22106,0.12366,2.3403,inf,1.698,0.00106966,0.00106966,0.00106966
129,2148.98,1.04202,0.57785,0.93021,0.35717,0.01422,0.18049,0.11385,3.68106,7.64451,2.87097,0.00106683,0.00106683,0.00106683
130,2165.54,1.03108,0.55573,0.92429,0.73659,0.83265,0.82124,0.55891,1.09242,0.58667,0.93957,0.001064,0.001064,0.001064
131,2181.96,1.02857,0.55897,0.92245,0.2857,0.34167,0.32784,0.1906,1.79509,inf,1.411,0.00106118,0.00106118,0.00106118
132,2198.5,1.02969,0.55853,0.92804,0.58733,0.50199,0.52182,0.32343,1.3246,1.09346,1.09862,0.00105835,0.00105835,0.00105835
133,2215.06,1.02209,0.5456,0.91994,0.78172,0.8815,0.8439,0.57596,1.07415,0.57042,0.92865,0.00105552,0.00105552,0.00105552
134,2231.64,1.01293,0.55128,0.92246,0.75895,0.85679,0.80706,0.54388,1.09039,0.59343,0.93548,0.00105269,0.00105269,0.00105269
135,2248.26,1.03291,0.5663,0.93235,0.76183,0.85482,0.81768,0.55667,1.07646,0.58128,0.93595,0.00104986,0.00104986,0.00104986
136,2264.87,1.00821,0.54187,0.92143,0.6002,0.65011,0.58015,0.35371,1.29676,0.8451,1.09549,0.00104703,0.00104703,0.00104703
137,2281.41,1.03043,0.55511,0.93127,0.78635,0.86611,0.82909,0.55174,1.11532,0.61634,0.9542,0.0010442,0.0010442,0.0010442
138,2298.04,1.02258,0.55642,0.92372,0.73346,0.69035,0.71357,0.46542,1.14108,0.67116,0.96405,0.00104137,0.00104137,0.00104137
139,2314.64,1.01497,0.54543,0.92151,0.75166,0.87024,0.8448,0.57781,1.08544,0.57651,0.93577,0.00103854,0.00103854,0.00103854
140,2331.23,1.01162,0.54347,0.92012,0.75734,0.89679,0.82435,0.55893,1.08921,0.58009,0.94686,0.00103571,0.00103571,0.00103571
141,2347.77,1.01372,0.55471,0.92263,0.53786,0.38413,0.44749,0.27576,1.48257,1.65907,1.20628,0.00103288,0.00103288,0.00103288
142,2364.36,1.00313,0.54021,0.91763,0.78212,0.84123,0.82225,0.55933,1.09258,0.5809,0.94354,0.00103005,0.00103005,0.00103005
143,2380.88,1.00933,0.55693,0.92472,0.74492,0.82083,0.76776,0.50134,1.12849,0.63808,0.96024,0.00102722,0.00102722,0.00102722
144,2397.46,1.02187,0.54518,0.92576,0.81148,0.86621,0.85374,0.57935,1.08336,0.57068,0.93537,0.00102439,0.00102439,0.00102439
145,2413.99,0.99986,0.53611,0.91844,0.41852,0.32851,0.32999,0.18135,1.76537,1.94364,1.56705,0.00102156,0.00102156,0.00102156
146,2430.53,1.00258,0.53603,0.92024,0.56699,0.56606,0.53575,0.32491,1.3614,1.01868,1.18362,0.00101873,0.00101873,0.00101873
147,2447.1,0.9953,0.53354,0.91373,0.58235,0.5945,0.53454,0.30745,1.41898,1.0852,1.20126,0.0010159,0.0010159,0.0010159
